id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,image_url,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
9814589,617348f2-09c4-4b98-930d-35f0662bf223,Sat Feb 10 2018 15:16:27 GMT-0500 (EST),2018-02-10,2018-02-10 20:16:27 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13432534/medium.jpeg,"11984 Palmetto Way, Dunnellon, FL, US",29.049384252,-82.4490637897,64,,,,64,Turdus migratorius,American Robin
9823213,bf12a5d9-3c0b-4e3c-a246-7b0d896683a6,2018-02-11 8:33:05 AM EST,2018-02-11,2018-02-11 13:33:05 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13447306/medium.jpeg,"4201-4263 FL-44, New Smyrna Beach, FL 32168, USA",28.96188687,-81.09940324,9,,,,9,Turdus migratorius,American Robin
9823217,f00ec419-a4be-4923-ad81-5ab65ad1142f,2018-02-11 8:42:40 AM EST,2018-02-11,2018-02-11 13:42:40 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13447311/medium.jpeg,"New Smyrna Beach, FL 32168, USA",28.97108304,-81.09915346,4,,,,4,Turdus migratorius,American Robin
9854526,5428b66a-b437-4c96-9cf8-104d3bb69664,2018-02-03 06:42:10,2018-02-03,2018-02-03 14:42:10 UTC,Pacific Time (US & Canada),research,https://static.inaturalist.org/photos/13497366/medium.jpg,"Sebastian, Florida, United States",27.810155,-80.513164,,,,,,Turdus migratorius,American Robin
9864244,f97c86be-1d2e-4fdd-8b67-8e7dca704501,2018-02-14,2018-02-14,,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13515083/medium.jpeg,Crooked Lake WEA,27.737421,-81.612853,470,,,,470,Turdus migratorius,American Robin
9882473,9d4437e6-366e-4fff-bef8-6e7f176875ad,Fri Feb 16 2018 11:11:27 GMT-0500 (EST),2018-02-16,2018-02-16 16:11:27 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13546107/medium.jpg,"3101 E 8th St, Lehigh Acres, FL, US",26.6291671664,-81.5870562245,22,,,,22,Turdus migratorius,American Robin
9908498,f79f6b17-0c1f-4ce3-8158-62f6d30c72a1,Sat Feb 17 2018 10:28:52 GMT-0500 (EST),2018-02-17,2018-02-17 15:28:52 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13589978/medium.jpg,"Lakeland, FL  33803, Lakeland, FL, US",27.9911333333,-81.8498,5,,,,5,Turdus migratorius,American Robin
9908559,a5e2e4e7-cd23-4183-b673-387a04407066,Sat Feb 17 2018 09:59:54 GMT-0500 (EST),2018-02-17,2018-02-17 14:59:54 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13590063/medium.jpg,"Lakeland, FL  33803, Lakeland, FL, US",27.9906883333,-81.8493583333,5,,,,5,Turdus migratorius,American Robin
9927346,fff1437a-5a8f-41d0-ba71-20ed92139534,2018/02/19,2018-02-19,,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13621361/medium.jpeg,"16000 FL-471, Lakeland, FL 33809, USA",28.302334,-82.053499,577,,,,577,Turdus migratorius,American Robin
9932151,9f4c4787-c675-48e2-8017-11bda3525f28,Tue Feb 20 2018 08:26:27 GMT-0500 (EST),2018-02-20,2018-02-20 13:26:27 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13629595/medium.jpg,"1590 Arch Rd, Mims, FL, US",28.64022,-80.8903116667,5,,,,5,Turdus migratorius,American Robin
9936820,22e94ed9-875a-4d86-bcf3-e6debddd13c2,2018-02-15,2018-02-15,,Central Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13637354/medium.jpeg,"Crystal River State Park, Florida",28.908476,-82.637302,2000,,,,2000,Turdus migratorius,American Robin
9981042,a7b63fa0-d39c-4576-8954-ec3510a6b162,2018/02/24,2018-02-24,,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13716735/medium.jpeg,"2700, Scrub Jay Trail, Poinciana, FL 34759, USA",28.1289994,-81.4302111,168,,,,168,Turdus migratorius,American Robin
10020879,e284bda5-9093-4c0a-938a-71f2b1e94f4e,2018/02/27 10:15 AM EDT,2018-02-27,2018-02-27 15:15:00 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13779794/medium.jpeg,"St. Augustine, FL, USA",29.9012437,-81.3124341,7577,,,,7577,Turdus migratorius,American Robin
10136899,0a18cdb7-ad80-4d06-a950-6c2127657c5c,2018/03/08 6:50 AM EST,2018-03-08,2018-03-08 11:50:00 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13983125/medium.jpeg,"Delespine On Indian River, FL, USA",28.4637872072,-80.8353575945,138,,,,138,Turdus migratorius,American Robin
10248877,2c0f3fc7-9a6d-4971-91db-1bb887dc2488,2018-03-15 3:55:27 PM EDT,2018-03-15,2018-03-15 19:55:27 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/14180609/medium.jpeg,"9888 S Forestline Ave, Inverness, FL 34452, USA",28.71876033,-82.3839486,7,,,,7,Turdus migratorius,American Robin
11459963,223c1831-01d6-446d-927b-c9764214f4e7,2018/04/26 10:10 AM EDT,2018-04-26,2018-04-26 14:10:00 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/16350551/medium.jpeg,"Miami-Dade County, FL, USA",25.4032300234,-80.5581139773,2,,,,2,Turdus migratorius,American Robin
11655803,fe0bbc4c-184e-441b-ac11-1fc46aa9f652,Sat Apr 28 2018 14:30:22 GMT-0400 (EDT),2018-04-28,2018-04-28 18:30:22 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/16654189/medium.jpg,"Hilliard, FL  32046, Hilliard, FL, US",30.6261610294,-82.0178153188,2501884,,,,2501884,Turdus migratorius,American Robin
12354848,b8a926ef-74d8-4ba4-8aff-ba03dbd482cb,Fri May 11 2018 13:14:56 GMT-0400 (EDT),2018-05-11,2018-05-11 17:14:56 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/17794108/medium.jpg,"Hernando County, US-FL, US",28.5643861955,-82.3817511556,5,,,,5,Turdus migratorius,American Robin
12737240,e7ea90d7-fff2-43cb-a944-eeb75f894f11,2018/03/13 12:31 PM EDT,2018-03-13,2018-03-13 16:31:00 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/18450067/medium.jpeg,"Williamsburg, FL, USA",28.3953266655,-81.4399337769,1454,,,,1454,Turdus migratorius,American Robin
12924012,5c4e8b5e-5591-4f76-bce4-902005ed95e1,2018-02-16 9:50:20 AM EST,2018-02-16,2018-02-16 14:50:20 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/18776341/medium.jpg,"20620 Maxim Pkwy, Orlando, FL 32833, USA",28.5109079,-81.0702182,22,,,,22,Turdus migratorius,American Robin
15000777,cf93a291-d826-402c-966f-7283cdf64ea0,2018/01/29 1:48 PM UTC,2018-01-29,,UTC,research,https://static.inaturalist.org/photos/22379833/medium.jpeg,"St. Marks NWR, FL",30.0785100578,-84.1793258937,15,,,,15,Turdus migratorius,American Robin
17203213,1235b199-1fa7-4d0f-b2ae-7e574265f53b,Sat Sep 15 2018 15:25:41 GMT-0400 (EDT),2018-09-15,2018-09-15 19:25:41 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/26078061/medium.jpg,Alafia River State Park,27.780117,-82.14524,182503,,,,182503,Turdus migratorius,American Robin
17866778,3df5fdcb-ec89-4744-9584-6ba96153f3ef,Fri Feb 09 2018 02:33:47 GMT-0500 (EST),2018-02-09,2018-02-09 07:33:47 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/27277930/medium.jpg,"27716 NW 182nd Ave, High Springs, FL, US",29.8248623265,-82.6370789298,100,,,,100,Turdus migratorius,American Robin
18106318,52654d2a-f5b0-4d8d-9b5d-2c5760b35276,Sat Nov 03 2018 18:08:50 GMT-0400 (EDT),2018-11-03,2018-11-03 22:08:50 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/27684059/medium.jpg,"12081 Kevin Allen Ln, Jacksonville, FL, US",30.3828197625,-81.8460555096,5,,,,5,Turdus migratorius,American Robin
